rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code,,
2.02E+14,WEYMTH,,7:48,,,7:48,,,,,,,,,,,,7:48,,,,
2.02E+14,UPWEY,7:52,7:52,7:52,,7:52,,,,,,,,,,7:51,,7:52,,,,
2.02E+14,DRCHJN,,,,7:58,,,,,7:57,,,,,,,,,,,,
2.02E+14,DRCHS,7:59,8:00,7:59,,8:00,,,,,,,,,,7:59,,8:00,,,,
2.02E+14,MORETON,8:07,8:07,8:06,,8:07,,,,,,,8:07,,,8:05,,,,,,
2.02E+14,WOOL,8:12,8:13,8:12,,8:13,,,,,,,,,,8:13,,8:14,,,,
2.02E+14,WARHAM,8:19,8:20,8:19,,8:20,,,,,,,,,,8:19,,8:20,,,,
2.02E+14,HOLTONH,,,,8:22,,,,,,,,,,,,8:22,,,,,
2.02E+14,HMWTHY,8:26,8:27,8:26,,8:27,,,,,,,,,,8:25,,8:27,,,,
2.02E+14,POOLE,8:31,8:32,8:31,,8:32,,,,,,,,,,8:30,,8:31,,,,
2.02E+14,PSTONE,8:36,8:36,8:36,,8:36,,,,,,,,,,8:33,,8:35,,,,
2.02E+14,BRANKSM,8:40,8:40,8:39,,8:40,,,,,,,,,,8:38,,8:40,,,,
2.02E+14,BOMO,8:46,8:50,8:45,,8:50,,,,,,,,,,8:44,,8:49,,,,
2.02E+14,POKSDWN,,,,8:52,,,,,,,,,,,,8:51,,,,,
2.02E+14,CHRISTC,,,,8:55,,,,,,,,,,,,8:53,,,,,
2.02E+14,HINTONA,,,,8:57,,,,,,,,,,,,8:57,,,,,
2.02E+14,NMILTON,9:01,9:01,9:00,,9:01,,,,,,,,,,8:59,,9:01,,,,
2.02E+14,SWAY,,,,9:06,,,,,,,,,,,,9:03,,,,,
2.02E+14,BKNHRST,9:08,9:09,9:08,,9:09,,,,,,,,,,9:07,,9:08,,,,
2.02E+14,BLIEURD,,,,9:15,,,,,,,,,,,,9:15,,,,,
2.02E+14,LYNDHRD,,,,9:16,,,,,,,,,,,,9:16,,,,,
2.02E+14,TOTTON,,,,9:17,,,,,,,,,,,,9:17,,,,,
2.02E+14,REDBDGE,,,,9:19,,,,,,,,,,,,9:19,,,,,
2.02E+14,MBRK,,,,9:21,,,,,,,,,,,,9:21,,,,,
2.02E+14,SOTON,9:23,9:25,9:22,,9:25,,,,,,,,,,9:22,,9:24,,,,
2.02E+14,NTHMJN,,,,9:27,,,,,9:27,,,,,,,,,,,,
2.02E+14,STDENYS,,,,9:29,,,,,,,,,,,,9:28,,,,,
2.02E+14,SWYTHLN,,,,9:31,,,,,,,,,,,,9:29,,,,,
2.02E+14,SOTPKWY,9:32,9:33,9:31,,9:33,,,,,,,,,,9:31,,9:32,,,,
2.02E+14,ELGH,,,,9:35,,,,,,,,,,,,9:34,,,,,
2.02E+14,SHAWFD,,,,9:38,,,,,,,,,,,,9:38,,,,,
2.02E+14,WNCHSTR,9:41,9:42,9:41,,9:42,,,,,,,,,,9:41,,9:41,,,,
2.02E+14,WALRSAL,,,,9:47,,,,,9:46,,,,,,,,,,,,
2.02E+14,MCHLDVR,,,,9:49,,,,,,,,,,,,9:49,,,,,
2.02E+14,WRTINGJ,,,,9:55,,,,,,,,,,,,9:54,,,,,
2.02E+14,BSNGSTK,9:58,10:00,9:58,,10:00,,,,,,,,,,9:57,,10:00,,,,
2.02E+14,HOOK,,,,10:05,,,,,,,,,,,,10:04,,,,,
2.02E+14,WNCFILD,,,,10:07,,,,,,,,,,,,10:06,,,,,
2.02E+14,FLEET,,,,10:08,,,,,,,,,,,,10:08,,,,,
2.02E+14,FRNBRCE,,,,10:10,,,,,10:09,,,,,,,,,,,,
2.02E+14,FRBRMN,,,,10:11,,,,,,,,,,,,10:10,,,,,
2.02E+14,BRKWOOD,,,,10:16,,,,,,,,,,,,10:13,,,,,
