name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
southampton,2017-01-01,9.1,3.1,6.3,6.8,-1.9,2.9,5.4,93.99,8.13,,12.5,,,,50,27.8,175.8,1018.4,71,13.3,,,0,,2017-01-01T08:08:25,2017-01-01T16:10:21,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-02,4.9,-1.1,2.4,2,-4.1,-1.2,0.6,88.15,4.4,,8.33,,,,,21.5,123,1028.5,17.3,20.2,,,0,,2017-01-02T08:08:18,2017-01-02T16:11:25,0.09,Rain,Clear conditions throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-03,5.6,-1.9,1.6,2.2,-5,-1.8,-0.4,86.78,0.2,,4.17,,,,57.6,19.7,282.8,1029.5,31.4,21.2,,,0,,2017-01-03T08:08:07,2017-01-03T16:12:32,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-04,8.4,1.1,4.8,5.9,-1.8,1.8,1.8,80.81,0,,0,,,0,50,19.1,243.3,1026.8,53.2,25.9,,,0,,2017-01-04T08:07:53,2017-01-04T16:13:41,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-05,5.8,-2.6,0.4,5.8,-5.8,-1.1,-2.1,83.35,0,,0,,,,,9.4,194.2,1034.4,3.1,19.2,,,0,,2017-01-05T08:07:36,2017-01-05T16:14:53,0.23,Clear,Clear conditions throughout the day.,clear-day,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-06,7.4,-1.6,3.2,4.6,-3.3,0.9,1.7,90.09,1.62,,8.33,,,,,16.5,150.3,1036.1,70.3,10.6,,,0,,2017-01-06T08:07:16,2017-01-06T16:16:07,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-07,10.4,7.7,9.1,10.4,5,7.9,8.8,98.32,8.46,,16.67,,,,,16,278.1,1032.6,79.9,6.1,,,0,,2017-01-07T08:06:53,2017-01-07T16:17:23,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-08,10,6.6,8.7,9.6,5.3,8.3,8.6,99,1.94,,16.67,,,,,7.1,256.5,1032.2,74.2,2.4,,,0,,2017-01-08T08:06:26,2017-01-08T16:18:41,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-09,9.5,4.8,7.6,6.4,1.1,4.9,6.5,92.92,3.78,,16.67,,,,59.9,29.6,239.1,1020.3,61.5,13.4,,,0,,2017-01-09T08:05:56,2017-01-09T16:20:02,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
southampton,2017-01-10,8.3,4.1,6.6,6.2,0.4,3.5,4.6,87.61,0.4,,8.33,,,,50,22.7,271,1012.6,55.6,17.3,,,0,,2017-01-10T08:05:23,2017-01-10T16:21:24,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,620,999,990,387,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
