name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
weymouth uK,01-01-17,10,3.2,7.3,6.6,-3.1,3,6,91.43,11.92,,12.5,,,,57.6,43.6,166,1018.2,81.9,15.5,,,0,,2017-01-01T08:11:13,2017-01-01T16:15:58,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,02-01-17,5.5,1.2,3.5,2,-2.9,-0.9,1.1,84.5,4.85,,8.33,,,,,31.9,38.1,1028.6,22.8,25.6,,,0,,2017-01-02T08:11:06,2017-01-02T16:17:02,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,03-01-17,7,1.4,4.6,3.8,-3.2,0.7,1.1,78.15,0.2,,4.17,,,,40.7,40.6,284,1030.1,29.5,34.2,,,0,,2017-01-03T08:10:56,2017-01-03T16:18:08,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,04-01-17,8.4,5,6.6,5.5,0.1,2.6,3.4,80.01,0,,0,,,0,,38.2,253.8,1027.5,73,34,,,0,,2017-01-04T08:10:43,2017-01-04T16:19:16,0.18,Partially cloudy,Partly cloudy throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,05-01-17,6.5,1.3,3.8,4.2,-3,0.6,-0.3,74.35,0,,0,,,,,23.3,82.8,1034.2,7.6,30.7,,,0,,2017-01-05T08:10:26,2017-01-05T16:20:27,0.23,Clear,Clear conditions throughout the day.,clear-day,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,06-01-17,9,5.6,7.1,5.3,2.9,3.9,3.5,78.86,0.68,,4.17,,,,,28.5,207.9,1035.8,91.2,22.2,,,0,,2017-01-06T08:10:07,2017-01-06T16:21:41,0.28,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,07-01-17,10.2,9,9.9,10.2,5.2,8.3,9.6,98.4,1.9,,8.33,,,,,30.4,280,1033.2,92.9,10,,,0,,2017-01-07T08:09:44,2017-01-07T16:22:56,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,08-01-17,10.5,8.3,9.7,10.5,6.7,8.4,9.1,96.55,0.63,,12.5,,,,,19.9,288,1032.5,79.8,23.6,,,0,,2017-01-08T08:09:18,2017-01-08T16:24:14,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,09-01-17,10.2,7.5,9.1,10.2,2.9,5.9,7.5,89.98,4.49,,16.67,,,,53.1,51.5,256.9,1020.9,66.7,16.9,,,0,,2017-01-09T08:08:49,2017-01-09T16:25:34,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,10-01-17,9.7,7.2,8.5,6.9,2.5,4.8,5.8,83.84,0.52,,8.33,,,0,46.4,41.6,288.4,1013.6,52.7,18,,,0,,2017-01-10T08:08:17,2017-01-10T16:26:55,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,11-01-17,11,7.7,9.4,11,3.2,7.2,5.5,77.17,0.53,,8.33,,,0,58.2,50,289.6,1014.2,52.3,14.7,,,0,,2017-01-11T08:07:42,2017-01-11T16:28:19,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,12-01-17,8.2,2.9,6.5,4.3,-4.4,1.5,3.6,82.59,18.79,,12.5,,,,70.6,63.1,279.2,1006.6,75.6,15.6,,,0,,2017-01-12T08:07:04,2017-01-12T16:29:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,13-01-17,6,2.8,4.7,0,-4.2,-1.4,0.2,73.18,1.32,,12.5,,,0,70.5,57.8,309.6,1013.2,29.6,21.7,,,0,,2017-01-13T08:06:23,2017-01-13T16:31:11,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,14-01-17,8.4,4.5,6.2,4.1,-1,1.5,2.8,79.05,0.4,,8.33,,,,50,38.3,307.7,1022.7,34.6,27.5,,,0,,2017-01-14T08:05:39,2017-01-14T16:32:40,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,15-01-17,9.9,7.2,8.5,6.9,3,4.8,6.4,86.87,0.56,,8.33,,,0,55.4,36.2,304.7,1024.7,85.7,24.1,,,0,,2017-01-15T08:04:52,2017-01-15T16:34:10,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,16-01-17,9.5,6.1,8.6,7.1,2.4,5.8,7.9,95.76,2.27,,12.5,,,0,,22.6,247.8,1027.3,89.2,16.7,,,0,,2017-01-16T08:04:02,2017-01-16T16:35:42,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,17-01-17,6.8,4.3,5.9,5.9,0.9,3.3,3.8,86.72,3.74,,16.67,,,0,,20.4,125.8,1034.8,89.8,26.6,,,0,,2017-01-17T08:03:10,2017-01-17T16:37:15,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,18-01-17,5.5,2,3.8,2.4,-2.7,0.1,-0.6,73.21,0.4,,9.09,,,0,,21.5,76.3,1037.6,5.6,27.8,,,0,,2017-01-18T08:02:15,2017-01-18T16:38:49,0.69,Rain,Clear conditions throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,19-01-17,6.2,1.4,3.5,1.9,-3.7,-1.3,-2.4,65.83,1,,4.17,,,,,31.8,58.5,1035.7,12.1,22.2,,,0,,2017-01-19T08:01:17,2017-01-19T16:40:25,0.73,Rain,Clear conditions throughout the day with morning rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,20-01-17,5.6,1.1,3.2,1,-4.7,-2,-0.8,75.46,0,,0,,,,,33.1,69.9,1031.5,8.8,20.8,,,0,,2017-01-20T08:00:16,2017-01-20T16:42:02,0.78,Clear,Clear conditions throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,21-01-17,4.4,0.8,2.8,1.8,-4,-1.4,-0.4,79.48,0,,0,,,,,30.3,98.3,1026.5,72.8,15.5,,,0,,2017-01-21T07:59:13,2017-01-21T16:43:39,0.83,Partially cloudy,Partly cloudy throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,22-01-17,8.4,3.8,5.7,6.4,0.2,2.6,2.4,79.6,0,,0,,,,,20.6,130.1,1026,21,15.1,,,0,,2017-01-22T07:58:08,2017-01-22T16:45:18,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,23-01-17,6.2,3.2,4.5,3.6,-0.1,1.8,3.9,95.97,0.94,,8.33,,,,,14.7,89,1028.2,10.5,4.8,,,0,,2017-01-23T07:57:00,2017-01-23T16:46:58,0.91,Rain,Clear conditions throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,24-01-17,6.5,2.7,4.9,5.6,0.4,2.8,3.8,93.59,0.6,,12.5,,,,,12,115.7,1028.3,17.9,6.5,,,0,,2017-01-24T07:55:49,2017-01-24T16:48:39,0.95,Rain,Clear conditions throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,25-01-17,8.4,3.9,6.1,6,-1.5,2.7,3.3,82.57,0.67,,8.33,,,0,,32.7,158.8,1026,45.4,24.4,,,0,,2017-01-25T07:54:36,2017-01-25T16:50:20,0.97,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,26-01-17,5.9,1.5,3.3,0.3,-4.5,-2.6,0.7,83.28,0,,0,,,0,51.8,46.9,125.1,1016.5,64,9.1,,,0,,2017-01-26T07:53:21,2017-01-26T16:52:02,0.99,Partially cloudy,Partly cloudy throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,27-01-17,8,5,6.5,4.4,0,2.1,4.7,88.17,4.76,,8.33,,,,63,42.3,140.3,1007.6,59.6,8.3,,,0,,2017-01-27T07:52:04,2017-01-27T16:53:45,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,28-01-17,8.6,6.2,7.5,5,1.5,3.7,5.1,84.7,7.26,,12.5,,,,46.4,40.3,233.2,1010.1,49.1,19.1,,,0,,2017-01-28T07:50:44,2017-01-28T16:55:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,29-01-17,10.1,6.2,8.4,10.1,1.6,5.3,7.6,94.78,19.21,,16.67,,,,57.6,39.4,213.8,1011,73.1,12.3,,,0,,2017-01-29T07:49:22,2017-01-29T16:57:12,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,30-01-17,10.1,9,9.6,10.1,6,7.7,9.5,99.44,4.54,,12.5,,,0,,25.7,202.7,1009.9,58.7,3.1,,,0,,2017-01-30T07:47:58,2017-01-30T16:58:57,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,31-01-17,10.6,9.9,10.2,10.6,7.2,9.8,10.1,99.49,11.08,,16.67,,,0,55.4,25.2,167.8,1010.6,56.7,2.2,,,0,,2017-01-31T07:46:32,2017-01-31T17:00:41,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,01-02-17,10.1,8.6,9.6,10.1,5.9,8.2,9.3,98.42,7.5,,16.67,,,1,68.4,33.9,188.1,1005.6,79.1,8.2,,,0,,2017-02-01T07:45:04,2017-02-01T17:02:27,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,02-02-17,10.8,9.6,10.1,10.8,5,8.5,8.7,91.15,4.75,,12.5,,,1,79.6,49.6,171.3,994.2,71.3,6.8,,,0,,2017-02-02T07:43:34,2017-02-02T17:04:12,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,03-02-17,9.5,6.5,8.1,5.4,0.6,3.5,6.1,87.42,7.87,,16.67,,,0,85.3,59.7,195.7,992.7,51.2,10.2,,,0,,2017-02-03T07:42:02,2017-02-03T17:05:58,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,04-02-17,9.1,4.9,6.4,7.1,1.2,4,3.5,82.25,2.23,,8.33,,,,51.8,28.8,212,996.8,45.6,18.6,,,0,,2017-02-04T07:40:28,2017-02-04T17:07:44,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,05-02-17,6.3,4.2,5.2,5.3,-0.1,1.6,3.9,91.12,7.31,,8.33,,,,38.9,28.1,211.9,1003.4,43.5,20.5,,,0,,2017-02-05T07:38:52,2017-02-05T17:09:30,0.33,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,06-02-17,9.1,3.8,6.2,5.9,0.5,2.8,4.7,90.1,2.94,,8.33,,,0,61.2,45,206.2,1016,62.7,14,,,0,,2017-02-06T07:37:15,2017-02-06T17:11:16,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,07-02-17,9.7,4.9,7.7,7.9,1,4.7,5.7,87.49,5.83,,12.5,,,0,35.3,31.7,282.8,1014.7,13.2,12.1,,,0,,2017-02-07T07:35:35,2017-02-07T17:13:02,0.42,Rain,Clear conditions throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,08-02-17,7.9,4,5.5,5.4,-0.5,1.8,3.2,85.38,1,,12.5,,,0,,28.6,239,1026.3,56,18,,,0,,2017-02-08T07:33:55,2017-02-08T17:14:49,0.46,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,09-02-17,3.9,1.7,2.9,-0.4,-3.6,-2.3,0.5,84.29,0,,0,,,0,,34.3,70.3,1025.9,80.8,11.8,,,0,,2017-02-09T07:32:12,2017-02-09T17:16:35,0.49,Partially cloudy,Partly cloudy throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,10-02-17,3.4,0.1,2.3,-0.8,-4.7,-3,0.4,87.44,0,,0,,,,,32.9,44.8,1023.2,76.4,7.1,,,0,,2017-02-10T07:30:28,2017-02-10T17:18:22,0.5,Partially cloudy,Partly cloudy throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,11-02-17,2.5,0.9,1.7,-2.6,-4.6,-3.7,-0.8,83.35,0.53,,8.33,,,,,31.3,164,1023.2,82.8,11.7,,,0,,2017-02-11T07:28:43,2017-02-11T17:20:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,12-02-17,6.4,2.1,3.5,0.8,-2.9,-2.1,1.5,86.76,0,,0,,,,51.8,48.3,60.6,1019.9,82.9,7.8,,,0,,2017-02-12T07:26:56,2017-02-12T17:21:54,0.52,Partially cloudy,Partly cloudy throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,13-02-17,8.5,6.3,7.3,3.4,0.5,1.8,4.9,85.04,0,,0,,,,53.6,57.4,90,1016.2,33.2,6.8,,,0,,2017-02-13T07:25:07,2017-02-13T17:23:40,0.53,Partially cloudy,Partly cloudy throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,14-02-17,9,6.7,7.9,6.8,1.7,4.4,7,94.06,0.71,,8.33,,,,46.4,39.9,112.5,1020.4,77.2,4.5,,,0,,2017-02-14T07:23:17,2017-02-14T17:25:26,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,15-02-17,10.5,8.1,8.8,10.5,4.6,6,8.5,97.77,7.17,,12.5,,,,,25.7,187.7,1027.3,48.9,8.6,,,0,,2017-02-15T07:21:26,2017-02-15T17:27:12,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,16-02-17,10.2,6.8,8.5,10.2,4.7,6.4,7.9,95.68,0.59,,8.33,,,,,23,250.4,1030.6,38.3,15.5,,,0,,2017-02-16T07:19:34,2017-02-16T17:28:58,0.65,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,17-02-17,9.6,6.4,7.7,9.1,3.7,5.6,6.9,94.57,0,,0,,,0,,20.3,207.9,1028.4,74.2,21.5,,,0,,2017-02-17T07:17:40,2017-02-17T17:30:43,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,18-02-17,10.3,6.4,7.8,10.3,2.9,5.6,7,95.07,0.2,,4.17,,,,,20.9,139.3,1024.8,23.5,5.5,,,0,,2017-02-18T07:15:45,2017-02-18T17:32:28,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,19-02-17,10.7,6.9,8.8,10.7,4.2,6,8.2,95.94,0.6,,12.5,,,,,27,254.8,1023.9,73.4,9,,,0,,2017-02-19T07:13:49,2017-02-19T17:34:13,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,20-02-17,11.2,9.1,10,11.2,5.6,8.2,9.6,96.87,0.2,,4.17,,,,40.7,35.4,266.6,1021.6,80.7,16.1,,,0,,2017-02-20T07:11:52,2017-02-20T17:35:58,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,21-02-17,10.5,9.3,9.8,10.5,5.3,6.7,9.2,96.47,1.54,,8.33,,,,51.8,40.8,254,1018.9,92.3,11.1,,,0,,2017-02-21T07:09:54,2017-02-21T17:37:43,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,22-02-17,11.9,9.6,10.4,11.9,5.2,8.2,9.3,92.91,1.1,,12.5,,,0,61.2,47.4,248.2,1011.7,95,11,,,0,,2017-02-22T07:07:55,2017-02-22T17:39:27,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,23-02-17,10.1,6.7,9,10.1,1.4,4.5,5.1,77.66,1.21,,12.5,,,0,85.1,69.4,269,1003,52.4,13.5,,,0,,2017-02-23T07:05:55,2017-02-23T17:41:11,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,24-02-17,9.3,2.6,5.7,6.9,-1,2.7,0.7,71,0,,0,,,0,,39.6,274.8,1017.5,41.6,28.9,,,0,,2017-02-24T07:03:53,2017-02-24T17:42:55,0.98,Partially cloudy,Partly cloudy throughout the day.,wind,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,25-02-17,10.2,6.6,8.8,10.2,4.2,5.9,6.4,84.95,0.58,,4.17,,,,53.6,30.3,216.5,1013.6,90.6,21.7,,,0,,2017-02-25T07:01:51,2017-02-25T17:44:38,1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"384,009,999,903,853,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,26-02-17,10.2,7.9,9.4,10.2,5.1,6.9,7.8,89.68,1.73,,12.5,,,,61.2,33.7,226.6,1006.1,89.3,21.8,,,0,,2017-02-26T06:59:48,2017-02-26T17:46:22,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"384,009,999,903,853,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,27-02-17,8,4.8,6.7,5.2,-1.2,2.6,4.3,85.15,11.87,,12.5,,,0.25,61.6,46.2,224.1,990,66.6,17.2,,,0,,2017-02-27T06:57:45,2017-02-27T17:48:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,28-02-17,8.5,4.3,6.5,3.7,-1.5,1.4,2.7,76.44,2.54,,12.5,,,0,64.8,54.2,272.3,990.9,34.8,19.2,,,0,,2017-02-28T06:55:40,2017-02-28T17:49:47,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,01-03-17,8.8,6.3,7.4,5.6,2.1,3.8,4.8,84.03,1.63,,8.33,,,0,59.4,58.5,220.2,1000,60.5,11.4,,,0,,2017-03-01T06:53:35,2017-03-01T17:51:29,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,02-03-17,10.2,6.4,8.2,10.2,0,4.1,3.5,73.05,4.04,,8.33,,,0,66.5,64.6,235.7,1010.6,19.5,13.4,,,0,,2017-03-02T06:51:29,2017-03-02T17:53:12,0.09,Rain,Clear conditions throughout the day with rain clearing later.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
